ticker,date,day_ret,rvol,coil,quiet,prior20,above200,pos1y,r10,r20
00DSMEX,2023-10-10,4.589356812524347,2.091129285183964,9.32072621008994,1.599264613086715,-6.57317506536073,True,0.3093995422725907,0.3931967896593211,-0.8838930926295903
00DSMEX,2024-01-10,4.95236537130627,2.2712018998937404,6.835773173690461,0.919003278467257,0.9974386473793883,True,0.6472806960877752,-5.298480939136638,-10.754014457841858
1JANATAMF,2020-09-21,8.51063829787233,11.855678752364915,6.818181818181814,1.0017613269765184,-2.083333333333326,True,0.5217391304347825,11.764705882352953,15.686274509803935
1JANATAMF,2021-04-15,7.843137254901968,3.5708013871016724,8.333333333333341,0.8737377922899089,-7.27272727272728,True,0.4324324324324325,-3.63636363636364,12.727272727272732
1JANATAMF,2021-11-21,3.030303030303033,3.051165667476733,6.249999999999992,0.8526529364936664,-4.347826086956532,False,0.3846153846153846,-1.4705882352941124,-4.411764705882351
1JANATAMF,2022-03-15,7.936507936507936,5.245141824492688,6.666666666666672,1.0094878610686944,-3.0769230769230793,False,0.3846153846153846,-4.411764705882351,-5.882352941176463
1STPRIMFMF,2019-11-13,3.968253968253968,2.14122538709267,9.999999999999993,0.8010721759177233,-10.638297872340425,True,0.5196850393700787,9.160305343511459,18.320610687022903
1STPRIMFMF,2019-11-19,8.593749999999996,2.6879537837491263,9.917355371900834,1.0330761031244413,-12.925170068027203,True,0.5826771653543308,10.071942446043169,12.949640287769776
1STPRIMFMF,2020-07-09,9.756097560975602,6.695857841947569,4.201680672268907,2.186905598500119,3.3613445378151288,False,0.5511811023622047,2.9629629629629655,12.592592592592588
1STPRIMFMF,2020-09-21,6.17283950617284,3.274165952176589,8.860759493670876,0.7693681785142077,0.621118012422347,True,0.782608695652174,1.7441860465116321,-3.4883720930232434
1STPRIMFMF,2020-09-30,8.23529411764705,2.5811519791704005,9.937888198757749,1.1373938486273811,5.590062111801233,True,0.9130434782608695,-12.499999999999986,-10.326086956521733
1STPRIMFMF,2021-09-09,5.3921568627451055,3.2859230721494637,6.500000000000003,0.8962674762912108,0.49261083743841316,True,0.6030534351145038,-4.186046511627901,-6.511627906976737
1STPRIMFMF,2021-10-10,3.482587064676613,2.450462789436583,4.545454545454538,0.5990512094853054,-6.511627906976737,True,0.5496183206106872,-4.326923076923087,-3.8461538461538494
1STPRIMFMF,2021-10-28,3.465346534653462,2.815067581871842,5.05050505050505,0.6245637103889811,-0.4926108374384306,True,0.5572519083969465,-3.3492822966507143,1.4354066985645968
